Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
114.220.238.87-64.227.132.71-19167-1900-17,114.220.238.87,19167,64.227.132.71,1900,17,01/02/2023 07:26:39 AM,2525248,1,1,90.0,242.0,90.0,90.0,90.0,0.0,242.0,242.0,242.0,0.0,131.4722355982462,0.7920014192665433,2525248.0,0.0,2525248.0,2525248.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.39600070963327166,0.39600070963327166,90.0,242.0,140.66666666666666,87.75724091682311,7701.333333333333,0,0,0,0,0,0,0,0,1.0,211.0,90.0,242.0,0,0,0,0,0,0,0,45,0,121,0,0,0,8,0,0,0,0,1.675236399485275E15,0.0,1.675236399485275E15,1.675236399485275E15,NeedManualLabel
47.114.113.255-64.227.132.71-64233-1900-17,47.114.113.255,64233,64.227.132.71,1900,17,01/02/2023 07:26:43 AM,4005484,2,3,180.0,712.0,90.0,90.0,90.0,0.0,252.0,218.0,237.33333333333334,17.473789896108208,222.6946855860615,1.2482885963344255,1001371.0,1369182.4439620895,3002195.0,1931.0,3259428.0,3259428.0,0.0,3259428.0,3259428.0,4003553.0,2001776.5,1414805.410748948,3002195.0,1001358.0,0,0,0,0,16,24,0.4993154385337702,0.7489731578006553,90.0,252.0,163.66666666666666,81.45100776949704,6634.266666666667,0,0,0,0,0,0,0,0,1.0,196.4,90.0,237.33333333333334,0,0,0,0,0,0,0,36,0,142,0,0,1,8,0,0,0,0,1.675236403268886E15,0.0,1.675236403268886E15,1.675236403268886E15,NeedManualLabel
14.136.216.157-64.227.132.71-42791-1900-17,14.136.216.157,42791,64.227.132.71,1900,17,01/02/2023 07:27:10 AM,3246508,2,0,180.0,0.0,90.0,90.0,90.0,0.0,0,0,0,0,55.4441880321872,0.6160465336909688,3246508.0,0.0,3246508.0,3246508.0,3246508.0,3246508.0,0.0,3246508.0,3246508.0,0,0,0,0,0,0,0,0,0,16,0,0.6160465336909688,0.0,90.0,90.0,90.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,135.0,90.0,0.0,0,0,0,0,0,0,1,90,0,0,0,0,1,8,0,0,0,0,1.67523643026273E15,0.0,1.67523643026273E15,1.67523643026273E15,NeedManualLabel
59.148.166.13-64.227.132.71-30306-123-17,59.148.166.13,30306,64.227.132.71,123,17,01/02/2023 07:27:21 AM,3874493,81,0,648.0,0.0,8.0,8.0,8.0,0.0,0,0,0,0,167.24768892342817,20.90596111542852,48431.162500000006,10168.81890810913,129559.0,33753.0,3874493.0,48431.162500000006,10168.81890810913,129559.0,33753.0,0,0,0,0,0,0,0,0,0,648,0,20.90596111542852,0.0,8.0,8.0,8.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,8.098765432098766,8.0,0.0,0,0,0,648,81,167,1,8,0,0,0,0,80,8,0,0,0,0,1.675236441233851E15,0.0,1.675236441233851E15,1.675236441233851E15,NeedManualLabel
58.218.179.130-64.227.132.71-12142-1900-17,58.218.179.130,12142,64.227.132.71,1900,17,01/02/2023 07:27:21 AM,686072,2,0,180.0,0.0,90.0,90.0,90.0,0.0,0,0,0,0,262.36313389848294,2.915145932205366,686072.0,0.0,686072.0,686072.0,686072.0,686072.0,0.0,686072.0,686072.0,0,0,0,0,0,0,0,0,0,16,0,2.915145932205366,0.0,90.0,90.0,90.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,135.0,90.0,0.0,0,0,0,0,0,0,1,90,0,0,0,0,1,8,0,0,0,0,1.675236441191841E15,0.0,1.675236441191841E15,1.675236441191841E15,NeedManualLabel
39.105.61.50-64.227.132.71-39715-1900-17,39.105.61.50,39715,64.227.132.71,1900,17,01/02/2023 07:27:27 AM,4005165,2,3,180.0,712.0,90.0,90.0,90.0,0.0,252.0,218.0,237.33333333333334,17.473789896108208,222.712422584338,1.2483880189705043,1001291.25,843169.9120313275,2001445.0,2448.0,3264154.0,3264154.0,0.0,3264154.0,3264154.0,4002717.0,2001358.5,122.32947314527271,2001445.0,2001272.0,0,0,0,0,16,24,0.49935520758820173,0.7490328113823026,90.0,252.0,163.66666666666666,81.45100776949704,6634.266666666667,0,0,0,0,0,0,0,0,1.0,196.4,90.0,237.33333333333334,0,0,0,0,0,0,0,36,0,142,0,0,1,8,0,0,0,0,1.675236447321414E15,0.0,1.675236447321414E15,1.675236447321414E15,NeedManualLabel
39.105.61.50-64.227.132.71-17926-1900-17,39.105.61.50,17926,64.227.132.71,1900,17,01/02/2023 07:27:27 AM,3251805,2,0,180.0,0.0,90.0,90.0,90.0,0.0,0,0,0,0,55.353872695318444,0.6150430299479828,3251805.0,0.0,3251805.0,3251805.0,3251805.0,3251805.0,0.0,3251805.0,3251805.0,0,0,0,0,0,0,0,0,0,16,0,0.6150430299479828,0.0,90.0,90.0,90.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,135.0,90.0,0.0,0,0,0,0,0,0,1,90,0,0,0,0,1,8,0,0,0,0,1.675236447336889E15,0.0,1.675236447336889E15,1.675236447336889E15,NeedManualLabel
14.136.216.157-64.227.132.71-13628-123-17,14.136.216.157,13628,64.227.132.71,123,17,01/02/2023 07:26:39 AM,2382962,50,0,400.0,0.0,8.0,8.0,8.0,0.0,0,0,0,0,167.8583208628589,20.982290107857363,48631.8775510204,4022.0878421155685,57790.0,42481.0,2382962.0,48631.8775510204,4022.0878421155685,57790.0,42481.0,0,0,0,0,0,0,0,0,0,400,0,20.982290107857363,0.0,8.0,8.0,8.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,8.16,8.0,0.0,0,0,0,400,50,167,1,8,0,0,0,0,49,8,0,0,0,0,1.675236399275111E15,0.0,1.675236399275111E15,1.675236399275111E15,NeedManualLabel
14.136.216.157-64.227.132.71-52123-1900-17,14.136.216.157,52123,64.227.132.71,1900,17,01/02/2023 07:26:47 AM,4006562,2,3,180.0,712.0,90.0,90.0,90.0,0.0,252.0,218.0,237.33333333333334,17.473789896108208,222.6347676636478,1.2479527335406266,1001640.4999999999,1076278.7166288912,2495361.0,1567.0,3498662.0,3498662.0,0.0,3498662.0,3498662.0,4004995.0,2002497.5,1415293.314427967,3003261.0,1001734.0,0,0,0,0,16,24,0.49918109341625067,0.748771640124376,90.0,252.0,163.66666666666666,81.45100776949704,6634.266666666667,0,0,0,0,0,0,0,0,1.0,196.4,90.0,237.33333333333334,0,0,0,0,0,0,0,36,0,142,0,0,1,8,0,0,0,0,1.675236407903394E15,0.0,1.675236407903394E15,1.675236407903394E15,NeedManualLabel
58.218.179.130-64.227.132.71-4344-123-17,58.218.179.130,4344,64.227.132.71,123,17,01/02/2023 07:27:09 AM,3884238,63,0,504.0,0.0,8.0,8.0,8.0,0.0,0,0,0,0,129.7551797804357,16.219397472554462,62649.0,49349.020439727625,259549.0,14677.0,3884238.0,62649.0,49349.020439727625,259549.0,14677.0,0,0,0,0,0,0,0,0,0,504,0,16.219397472554462,0.0,8.0,8.0,8.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,8.126984126984127,8.0,0.0,0,0,0,504,63,129,1,8,0,0,0,0,62,8,0,0,0,0,1.675236429156852E15,0.0,1.675236429156852E15,1.675236429156852E15,NeedManualLabel
